tokens_tags,frequency
हेल्स_NN,1
किचन_NN,1
मां_NN,40
उसके_PRP,152
लघु_JJ,13
मध्यम_JJ,10
युद्ध_NN,159
पृथ्वीराज_NN,7
घोरी_NN,3
मध्य_NST,96
परमानपुर_PSP,1
सहकुंड_NN,14
भागलपुर_NNP,82
बिहार_NNP,1210
स्थित_JJ,2845
माधुरी_XC,2
वर्मा_NNP,23
उत्तर_XC,1701
सोलहवीं_QO,135
विधानसभा_JJ,116
सभा_NN,693
विधायक_JJ,208
प्राय_NN,13
सभी_QF,205
पुराणों_NN,11
शिव_NNP,47
त्याग_NN,8
तपस्या_NN,7
वात्सल्य_NN,1
तथा_CC,899
करुणा_NN,4
मूर्ति_NN,23
बताया_VM,38
सान_XC,11
किप्रियानो_NNP,1
गिरजाघर_NN,96
स्पेनी_XC,25
कोबेनिया_NNP,1
स्पेन_NN,109
चिराग_NN,2
1969_QC,37
हिन्दी_JJ,625
इसमें_PRP,209
मुख्य_JJ,442
किरदार_NN,95
इक़बाल_NN,9
बिन्नी_NN,3
शर्मा_NN,7
राख_NN,5
2007_QC,193
ओरिया_NNP,1
चक_NN,17
मगध_JJ,237
औरंगाबाद_XC,231
कोमला_NN,1
गभाना_VM,17
अलीगढ़_NNP,212
वीरगति_NN,4
1995_QC,52
जिटौली_XC,1
अमृतपुर_NNP,30
फर्रुखाबाद_NNP,117
तैमूर_NN,5
लगातार_RB,42
आक्रमणों_NN,3
कारण_NN,347
दिल्ली_NNP,202
सल्तनत_NN,16
कन्द्रीय_JJ,1
नेतृत्व_NN,43
पूरी_JJ,67
तरह_NN,157
हतास_NN,1
हो_VM,561
चुका_VAUX,58
था_VAUX,1322
उसे_PRP,104
1398_QC,2
तक_RP,747
लूट_VM,1
लिया_VAUX,126
पचरूखिया_NN,1
फतुहा_VM,5
पटना_NNP,283
1999_QC,70
हिट_NN,10
वार्सिटी_XC,1
ब्लूज़_NNP,2
इन्हें_PRP,87
ख्याति_NN,25
प्राप्त_JJ,271
हुई_VM,278
टांगरघाट_JJ,1
घरघोडा_NN,41
छत्तीसगढ़_NNP,316
रायगढ़_NNP,288
जिले_NN,704
फिलहाल_RB,4
यह_DEM,1696
चित्र_NN,25
उफ़िज़ी_JJ,1
संग्रहालय_NN,33
फ्लोरेंस_NN,2
लगा_VM,47
बरमुडियन_XC,1
डॉलर_NNP,26
सामान्य_JJ,41
तौर_NN,165
पर_PSP,2518
बरमुडा_NN,1
बाहर_NST,59
उपयोग_NN,110
नहीं_NEG,457
लाया_VM,16
सरदारपुरम्_NNP,1
येम्मिगनूरु_XC,5
कर्नूलु_XC,166
वैरिधारि_NN,1
अन्नवरं_CC,2
कृष्णा_NN,69
सौखती_NN,1
सल्ट_NN,28
अब्राहिम_JJ,1
बैंजामिन_NN,1
डी_PSP,19
विलियर्स_NN,1
17_QC,97
फ़रवरी_NN,79
दक्षिण_XC,299
अफ्रीका_NNP,62
क्रिकेट_NN,158
खिलाड़ी_XC,52
हैं_NNP,33
जो_PRP,1275
दिवसीय_JJ,12
अंतर्राष्ट्रीय_JJ,83
टीम_NN,209
कप्तान_NN,21
अडाय_XC,1
कोंच_NN,3
यहां_PRP,586
यात्रा_NN,55
न_NEG,146
भूलने_VM,1
अनुभव_NN,30
कोफ्ता_NN,1
बिहारी_JJ,3
व्यंजन_NN,66
सुन्पेहार_XC,1
इदलपुर_XC,1
अतरौली_NNP,39
6_QC,209
2013_QC,139
प्रदर्शित_JJ,88
गयी_VAUX,156
उन्होंने_PRP,449
1866_QC,2
नेशनल_XC,46
सेक्युलर_XC,2
सोसाइटी_NNP,7
खदायपुर_XC,1
कसगांव_XC,1
फूलपुर_NNP,25
इलाहाबाद_NN,170
लिंडन_XC,1
बेन्स_XC,1
जॉनसन_XC,2
संयुक्त_XC,140
अमरीका_NNP,25
राष्ट्रपति_NN,103
फल_NN,39
तिकोने_XC,1
गहरे_JJ,10
कत्थई_XC,1
लगभग_RB,287
आधा_QF,12
इंच_NN,16
लंबे_JJ,34
बीज_NN,17
छोटी_JJ,61
इलायची_NN,10
कुछ_QF,351
बड़े_NN,7
होते_VM,221
खैबर_XC,1
उर्दू_XC,36
خیبر_NNP,1
पाकिस्तानी_JJ,31
एजेंसी_NN,13
पाकिस्तान_NNP,198
