NN~94664
PSP~66765
SYM~38376
JJ~35687
VM~31352
XC~26955
NNP~26780
QC~20651
VAUX~14934
PRP~12614
CC~9258
RP~3925
DEM~3435
NST~3151
QF~2146
RB~1042
QO~937
INTF~895
NEG~580
RDP~439
WQ~81
INJ~5
